id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
8102204;2;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;3;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;4;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;5;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;6;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;7;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;8;321,6;11,3;29,04;3,24;0,3;56,8;1,92;2,16;10,6;12,8;1,11;748,8;0;217,4;3,48;0,29;0,56;0,46;1,4
8102204;11;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;13;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102204;99;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
8102207;1;244;18,2;18,4;0;0;80;0;0;14;21;0,7;1351;0;356;0;0,12;0;0;0
8102207;2;244;18,2;18,4;0;0;80;0;0;14;21;0,7;1351;0;356;0;0,12;0;0;0
8102207;3;244;18,2;18,4;0;0;80;0;0;14;21;0,7;1351;0;356;0;0,12;0;0;0
8102207;4;244;18,2;18,4;0;0;80;0;0;14;21;0,7;1351;0;356;0;0,12;0;0;0
8102207;5;245;18,3;18,5;0;0;76;0;0;15;29;0,8;1374;0;364;0;0,11;0;0;0
8102401;99;379;14,6;34,5;1,29;0;120;1,31;1,1;6;8;6,4;680;0;38;0;0,07;0,25;0,13;0
8102402;99;379;14,6;34,5;1,29;0;120;1,31;1,1;6;8;6,4;680;0;38;0;0,07;0,25;0,13;0
8102403;1;379;14,6;34,5;1,29;0;120;1,31;1,1;6;8;6,4;680;0;38;0;0,07;0,25;0,13;0
8102403;2;379;14,6;34,5;1,29;0;120;1,31;1,1;6;8;6,4;680;0;38;0;0,07;0,25;0,13;0
8102501;2;339;19,43;28,36;0;0;84;0,14;0;13;17;1,36;749;0;294;12;0,29;0;0,55;0,7
8102601;99;307;11,1;27,7;3,2;0;60;2,54;2,71;11;11;0,66;930;0;199;0;0,34;1,1;0,57;0
